발생년,발생년월일,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,가해자법규,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_
2019,20190102,주,수,1,0,0,0,0,서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,955430.0,1952240.0,126.9952985,37.56844929,,,,,,,,,,,,,,,,
2019,20190103,주,목,1,1,0,1,0,서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,962122.0,1962574.0,127.0705398,37.66189171,초등학교,계상초교,서울특별시 노원구 한글비석로41가길 24,서울특별시 노원구 상계5동 447-1,37.66219741,127.06867659999999,노원구청,노원경찰서,Y,2.0,8~19,2020-07-14,3100000.0,서울특별시 노원구,0,2.0
2019,20190103,주,목,1,0,0,0,0,서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,954851.0,1951572.0,126.9887834,37.56240025,,,,,,,,,,,,,,,,
2019,20190108,야,화,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,944117.0,1950716.0,126.86731499999999,37.5540963,초등학교,염창초등학교,서울특별시 강서구 양천로 646-28 (염창동),,37.55322433,126.86760020000001,서울특별시 강서구청,강서경찰서,Y,2.0,8,2020-01-01,3150000.0,서울특별시 강서구,0,97.0
2019,20190114,주,월,1,0,0,0,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,945828.0,1943562.0,126.8872128,37.48971867,유치원,도현유치원,서울특별시 구로구 구로동로28길 55,,37.490942,126.887203,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000.0,서울특별시 구로구,0,98.0
2019,20190116,야,수,1,0,0,0,0,서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987.0,1949576.0,127.0244051,37.54455817,유치원,옥수병설유치원,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.54552993,127.0218712,서울특별시 성동구,성동경찰서,Y,1.0,4~13,2020-06-17,3030000.0,서울특별시 성동구,0,97.0
2019,20190116,야,수,1,0,0,0,0,서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987.0,1949576.0,127.0244051,37.54455817,초등학교,옥수초등학교,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.54552993,127.0218712,서울특별시 성동구,성동경찰서,Y,3.0,6~6,2020-06-17,3030000.0,서울특별시 성동구,2017-12-12,97.0
2019,20190116,야,수,1,0,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961407.0,1945530.0,127.0633317,37.50823968,,,,,,,,,,,,,,,,
2019,20190117,야,목,1,0,0,0,0,서울,강동구,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,969058.0,1948101.0,127.14979050000001,37.5317016,,,,,,,,,,,,,,,,
2019,20190117,주,목,1,4,2,2,0,서울,동작구,차대차,추돌,추돌,과속,교차로,교차로내,승용차,승용차,953853.0,1942637.0,126.9780449,37.48181733,,,,,,,,,,,,,,,,
