발생년,발생년월일,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),옐로카펫_설치유무
2019,20190103,주,목,1,1,0,1,0,서울,노원구,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,962122,1962574,127.0705398,37.66189171,초등학교,계상초교,서울특별시 노원구 한글비석로41가길 24,서울특별시 노원구 상계5동 447-1,37.66219741,127.0686766,노원구청,노원경찰서,Y,2,8~19,2020-07-14,3100000,서울특별시 노원구,0,2,-3.5,-8.4,3.2,,0
2019,20190108,야,화,1,0,0,0,0,서울,강서구,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,944117,1950716,126.867315,37.5540963,초등학교,염창초등학교,서울특별시 강서구 양천로 646-28 (염창동),,37.55322433,126.8676002,서울특별시 강서구청,강서경찰서,Y,2,8,2020-01-01,3150000,서울특별시 강서구,0,97,-3.5,-7.2,0.5,,0
2019,20190114,주,월,1,0,0,0,0,서울,구로구,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,945828,1943562,126.8872128,37.48971867,유치원,도현유치원,서울특별시 구로구 구로동로28길 55,,37.490942,126.887203,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,98,1.4,-2.4,5.3,,0
2019,20190116,야,수,1,0,0,0,0,서울,성동구,차량단독,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987,1949576,127.0244051,37.54455817,유치원,옥수병설유치원,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.54552993,127.0218712,서울특별시 성동구,성동경찰서,Y,1,4~13,2020-06-17,3030000,서울특별시 성동구,0,97,-5.2,-10.1,-1.1,0,0
2019,20190116,야,수,1,0,0,0,0,서울,성동구,차량단독,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987,1949576,127.0244051,37.54455817,초등학교,옥수초등학교,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.54552993,127.0218712,서울특별시 성동구,성동경찰서,Y,3,6~6,2020-06-17,3030000,서울특별시 성동구,20171212,97,-5.2,-10.1,-1.1,0,1
2019,20190118,야,금,1,0,0,0,0,서울,구로구,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943085,1943620,126.8561816,37.49007643,유치원,개봉초병설유치원,서울특별시 구로구 개봉로16길 30-11,,37.48952311,126.8579748,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,95,0.6,-4.6,6.7,,0
2019,20190118,야,금,1,0,0,0,0,서울,구로구,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943085,1943620,126.8561816,37.49007643,초등학교,개봉초등학교,서울특별시 구로구 개봉로16길 30-11,,37.48952311,126.8579748,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,95,0.6,-4.6,6.7,,0
2019,20190118,야,금,1,0,0,0,0,서울,구로구,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943085,1943620,126.8561816,37.49007643,유치원,미림유치원,서울특별시 구로구 개봉로18길 37,,37.490828,126.857951,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,9,0.6,-4.6,6.7,,0
2019,20190118,주,금,1,2,0,2,0,서울,도봉구,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,958964,1959934,127.034884,37.63796123,초등학교,서울수송초등학교,서울특별시 강북구 한천로 124길 14,서울특별시 강북구 번동 456,37.63732,127.0332052,강북구청,강북경찰서,Y,9,25,2019-05-10,3080000,서울특별시 강북구,0,1,0.6,-4.6,6.7,,0
2019,20190119,주,토,1,0,0,0,0,서울,구로구,차대차,기타,안전거리 미확보,단일로,기타단일로,이륜차,승용차,946338,1944412,126.8929196,37.49740965,어린이집,해태어린이집,서울특별시 영등포구 가마산로 316,서울특별시 영등포구 대림3동 777,37.49804915,126.894845,영등포구청,영등포경찰서,Y,1,6.5~8.5,2020-06-30,3180000,서울특별시 영등포구,0,7,3.6,0,8.5,,0
