발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,가해자_?1,피해자_당,피해자_?1,발생위치X_,발생위치Y_,경도,위도,field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도_2,경도_2,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도_1,소재지지_1,위도_2_2,경도_2_2,관리기관_1,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기_1,제공기관_1,제공기관_2,옐로카펫_,보호구역_
"2018","20181215",야,토,"1","1","0","0","0",서울,성북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,956967.000000000000000,1954807.000000000000000,127.012551700000003,37.591659340000000,"22020",서울특별시 성북구청,서울특별시 성북구 동소문로15길 12,서울특별시 성북구 동소문동6가 71-3,생활방범,"3",200.000000000000000,"360",30.000000000000000,"200612",02-2241-4562,37.592809809999999,127.013765299999989,2020/03/31,"3070000",서울특별시 성북구,초등학교,돈암초등학교,서울특별시 성북구 동소문로13길 38,서울특별시 성북구 동소문동6가 27-1,37.593745299999995,127.013103099999995,서울특별시 성북구청,서울특별시 성북경찰서,Y,1.000000000000000,,2020/02/28,"3070000",서울특별시 성북구,"0","95"
"2018","20181230",야,일,"1","1","0","0","0",서울,강북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,957823.000000000000000,1957100.000000000000000,127.022115400000004,37.612366250000001,"4145",서울특별시 성북구청,서울특별시 성북구 삼양로 61-1,서울특별시 성북구 길음동 1222,생활방범,"3",200.000000000000000,"360",30.000000000000000,"201012",02-2241-4562,37.608614179999996,127.023047200000008,2020/03/31,"3070000",서울특별시 성북구,초등학교,미아초등학교,서울특별시 성북구 삼양로 77,서울특별시 성북구 길음동 1168,37.610514200000004,127.021645699999993,서울특별시 성북구청,서울특별시 성북경찰서,Y,1.000000000000000,,2020/02/28,"3070000",서울특별시 성북구,2018-04-07,"96"
"2018","20180804",야,토,"1","1","0","0","0",서울,중랑구,차대사람,보도통행중,보도통행중,신호위반,단일로,기타단일로,자전거,자전거,보행자,보행자,963551.000000000000000,1954643.000000000000000,127.087136999999998,37.590465590000001,"18182",서울특별시 중랑구청,서울특별시 중랑구 면목로80길 13,서울특별시 중랑구 면목본동 233-26,생활방범,"3",200.000000000000000,"0",30.000000000000000,"201005",02-2094-0284,37.590602869999998,127.087715099999983,2020/05/06,"3060000",서울특별시 중랑구,초등학교,서울면목초등학교,서울특별시 중랑구 면목로 434,서울특별시 중랑구 면목본동 221,37.590697230000004,127.087288700000016,서울특별시 중랑구청,중랑경찰서,Y,,,2020/03/04,"3060000",서울특별시 중랑구,"0","97"
"2018","20180918",야,화,"1","1","0","0","0",서울,강서구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,944291.000000000000000,1950110.000000000000000,126.869330899999994,37.548644940000003,"13006",서울특별시 양천구청,서울특별시 양천구 목동중앙북로7가길 30,서울특별시 양천구 목동 608-8,생활방범,"3",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.549211000000000,126.865929000000008,2019/11/20,"3140000",서울특별시 양천구,유치원,동연유치원,서울특별시 양천구 목동중앙북로7길 22,서울특별시 양천구 목3동 602-16,37.548809000000006,126.867707499999995,서울특별시 양천구청,양천경찰서,Y,3.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2018","20180918",야,화,"1","1","0","0","0",서울,강서구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,944291.000000000000000,1950110.000000000000000,126.869330899999994,37.548644940000003,"13081",서울특별시 양천구청,서울특별시 양천구 목동중앙본로27길 37,서울특별시 양천구 목동 553-21,생활방범,"4",200.000000000000000,360도 전방,30.000000000000000,"201412",02-2620-4793,37.544292999999996,126.868375000000000,2019/11/20,"3140000",서울특별시 양천구,유치원,신목유치원,서울특별시 양천구 목동중앙북로10길 7-10,서울특별시 양천구 목2동 504-12,37.546331000000002,126.870203000000004,서울특별시 양천구청,양천경찰서,Y,2.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2018","20180517",야,목,"1","1","0","0","0",서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,945233.000000000000000,1949387.000000000000000,126.880048400000007,37.542184970000001,"13038",서울특별시 양천구청,서울특별시 양천구 목동중앙로13다길 34,서울특별시 양천구 목동 131-46,생활방범,"4",130.000000000000000,360도 전방,30.000000000000000,"201112",02-2620-4793,37.543711999999999,126.881262999999990,2019/11/20,"3140000",서울특별시 양천구,초등학교,목원초교,서울특별시 양천구 목동중앙로 204,서울특별시 양천구 목5동 929,37.542936230000002,126.882479300000000,서울특별시 양천구청,양천경찰서,Y,2.000000000000000,"14",2020/06/01,"3140000",서울특별시 양천구,"0","98"
"2018","20180517",야,목,"1","1","0","0","0",서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,945233.000000000000000,1949387.000000000000000,126.880048400000007,37.542184970000001,"13915",서울특별시 양천구청,서울특별시 양천구 목동서로2길 20,서울특별시 양천구 목동 900-16,어린이보호,"3",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.539861000000002,126.881929000000000,2019/11/20,"3140000",서울특별시 양천구,유치원,해림유치원,서울특별시 양천구 목동서로2길 22,서울특별시 양천구 목5동 929,37.541628179999996,126.882642799999999,서울특별시 양천구청,양천경찰서,Y,1.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2018","20180517",야,목,"1","1","0","0","0",서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,945233.000000000000000,1949387.000000000000000,126.880048400000007,37.542184970000001,"13898",서울특별시 양천구청,서울특별시 양천구 목동서로 38,서울특별시 양천구 목동 목동신시가지1단지 117동 옆 도로변,어린이보호,"3",200.000000000000000,360도 전방,30.000000000000000,"201512",02-2620-4793,37.539184999999996,126.879436000000013,2019/11/20,"3140000",서울특별시 양천구,유치원,수영유치원,서울특별시 양천구 목동서로 38,서울특별시 양천구 목5동 901,37.541292419999998,126.878501999999997,서울특별시 양천구청,양천경찰서,Y,0.000000000000000,"7",2020/06/01,"3140000",서울특별시 양천구,"0","10"
"2018","20180204",야,일,"1","1","0","0","0",서울,중구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,기타,기타,957086.000000000000000,1951854.000000000000000,127.014072700000000,37.565048859999997,"19299",서울특별시 중구청,서울특별시 중구 퇴계로73가길 26 (신당동),서울특별시 중구 신당동 251-91,쓰레기단속,"1",200.000000000000000,고정형,30.000000000000000,"201709",02-3396-4744,37.566072999999996,127.013437999999994,2019/11/21,"3010000",서울특별시 중구,초등학교,광희초등학교,서울특별시 중구 다산로 269,서울특별시 중구 신당동 254,37.567299009999999,127.015688299999994,서울특별시 중구,서울중부경찰서,Y,2.000000000000000,"15",2020/07/14,"3010000",서울특별시 중구,2015-09-14,"97"
"2018","20180204",야,일,"1","1","0","0","0",서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,956568.000000000000000,1954537.000000000000000,127.008048299999999,37.589207029999997,"22022",서울특별시 성북구청,서울특별시 성북구 동소문로6길 12,서울특별시 성북구 동소문동2가 61,생활방범,"3",130.000000000000000,"360",30.000000000000000,"201112",02-2241-4562,37.588665720000002,127.008288999999991,2020/03/31,"3070000",서울특별시 성북구,유치원,새삼선유치원,서울특별시 성북구 성북로4길 21,서울특별시 성북구 동소문동1가 140-75,37.590289660000003,127.006209299999995,서울특별시 성북구청,서울특별시 성북경찰서,Y,1.000000000000000,"14",2020/02/28,"3070000",서울특별시 성북구,"0","95"
