발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도_2,경도_2,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도_1,소재지지_1,위도_2_2,경도_2_2,관리기관_1,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기_1,제공기관_1,제공기관_2,옐로카펫_,보호구역_
"2014","20141015",야간,화,"1","1","0","0","0",서울,종로구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,중형,"0","957197","1953341",127.015242599999993,37.578456700000004,"20811",서울특별시 성북구청,서울특별시 성북구 보문로15길 43,서울특별시 성북구 보문동6가 156-3,생활방범,"3",200.000000000000000,"360",30.000000000000000,"200612",02-2241-4562,37.580183820000002,127.019254799999999,2020/03/31,"3070000",서울특별시 성북구,유치원,청룡유치원,서울특별시 종로구 동망산길 62,서울특별시 종로구 숭인동 48-2,37.579374000000001,127.016652000000008,종로구청,혜화경찰서,Y,1.000000000000000,"12",2019/01/14,"3000000",서울특별시 종로구,"0","95"
"2014","20140901",야간,목,"1","1","0","0","0",서울,중구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,지하도로내,지하도로내,원동기장치자전거,"0","954886","1951442",126.989187700000016,37.561230260000002,"19014",서울특별시 중구청,서울특별시 중구 퇴계로 115 (충무로1가),서울특별시 중구 충무로1가 64,생활방범,"4",200.000000000000000,회전형,30.000000000000000,"201709",02-3396-4744,37.560941999999997,126.985062999999982,2019/11/21,"3010000",서울특별시 중구,초등학교,남산초등학교,서울특별시 중구 퇴계로22길 17,서울특별시 중구 남산동2가 2,37.559785009999999,126.986781000000008,서울특별시 중구,서울남대문경찰서,Y,3.000000000000000,"6",2020/07/14,"3010000",서울특별시 중구,2015-09-14,"96"
"2014","20140618",주간,일,"1","7","3","2","1",서울,노원구,차대사람,기타,기타,기타(운전자법규위반),단일로,기타단일로,소형,보행자,"961213","1963984",127.060158900000019,37.674562270000003,"14418",서울특별시 노원구청,서울특별시 노원구 동일로242라길15,서울특별시 노원구 상계동 1116-63,생활방범,"1",200.000000000000000,회전,30.000000000000000,"201512",02-2116-4917,37.676096559999998,127.057385100000005,2019/04/08,"3100000",서울특별시 노원구,초등학교,노원초교,서울특별시 노원구 동일로230나길 32,서울특별시 노원구 상계1동 1014,37.673594909999998,127.058453599999979,노원구청,노원경찰서,Y,4.000000000000000,"10",2020/07/14,"3100000",서울특별시 노원구,"0","8"
"2014","20140907",주간,목,"1","2","1","0","0",서울,노원구,차대차,추돌,주정차중 추돌,차로위반(진로변경 위반),단일로,기타단일로,중형,원동기장치자전거,"961177","1962092",127.059851399999999,37.657507879999997,"14729",서울특별시 노원구청,서울특별시 노원구 동일로 221길 22 대림아파트방향,서울특별시 노원구 상계10동 695 용화지하차도 (대림아파트방향_고정형),생활방범,"2",130.000000000000000,고정,30.000000000000000,"201201",02-2116-4917,37.659728889999997,127.059335500000003,2019/04/08,"3100000",서울특별시 노원구,초등학교,상월초교,서울특별시 노원구 동일로221길 27,서울특별시 노원구 상계10동 697,37.658653770000001,127.056986000000009,노원구청,노원경찰서,Y,1.000000000000000,"9.8",2020/07/14,"3100000",서울특별시 노원구,"0","95"
"2014","20140412",야간,토,"1","7","4","2","0",서울,노원구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,중형,중형,"963561","1958094",127.087078399999996,37.621570779999999,"14581",서울특별시 노원구청,서울특별시 노원구 화랑로51길 17 솔밭근린공원,서울특별시 노원구 공릉동 111-1 (솔밭근린공원 -1),시설물관리,"1",200.000000000000000,회전,30.000000000000000,"201509",02-2116-3952,37.622720299999997,127.088170599999998,2019/04/08,"3100000",서울특별시 노원구,초등학교,태릉초교,서울특별시 노원구 노원로1길 36,서울특별시 노원구 공릉2동 250,37.623102039999999,127.085061100000004,노원구청,노원경찰서,Y,5.000000000000000,8~20,2020/07/14,"3100000",서울특별시 노원구,"0","95"
"2014","20140112",주간,목,"1","1","0","0","0",서울,노원구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,소형,보행자,"963030","1963525",127.080786299999986,37.670500269999998,"14595",서울특별시 노원구청,서울특별시 노원구 덕릉로130길47-1,서울특별시 노원구 상계동 71-17,생활방범,"1",200.000000000000000,고정,30.000000000000000,"201603",02-2116-4917,37.672123939999999,127.085671300000001,2019/04/08,"3100000",서울특별시 노원구,어린이집,상계4동어린이집,서울특별시 노원구 덕릉로130길 6,서울특별시 노원구 상계4동 48-11,37.671925000000002,127.083211000000006,노원구청,노원경찰서,Y,2.000000000000000,10~14,2020/07/14,"3100000",서울특별시 노원구,"0","8"
"2014","20140111",주간,토,"1","4","1","2","0",서울,노원구,차대차,기타,기타,중앙선 침범,단일로,기타단일로,중형,중형,"961441","1957939",127.063063599999992,37.620087220000002,"14558",서울특별시 노원구청,서울특별시 노원구 석계로13길 6-20 소곶네어린이공원,서울특별시 노원구 월계1동 411-47 (소곶이어린이공원),시설물관리,"1",200.000000000000000,회전,30.000000000000000,"201512",02-2116-3952,37.620969049999999,127.061629300000007,2019/04/08,"3100000",서울특별시 노원구,어린이집,월계1동어린이집,서울특별시 노원구 석계로 69,서울특별시 노원구 월계1동 411-46,37.620906959999999,127.062416999999996,노원구청,노원경찰서,Y,2.000000000000000,6~14,2020/07/14,"3100000",서울특별시 노원구,"0","8"
"2014","20140216",야간,토,"1","1","0","0","0",서울,노원구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,소형,"0","961126","1962498",127.058449999999993,37.662695229999997,"14577",서울특별시 노원구청,서울특별시 노원구 동일로 1456 온곡어린이공원,서울특별시 노원구 상계동 692-1 (온곡어린이공원),시설물관리,"1",200.000000000000000,회전,30.000000000000000,"201509",02-2116-3952,37.659760089999999,127.060981400000003,2019/04/08,"3100000",서울특별시 노원구,유치원,풍천유치원,서울특별시 노원구 노원로 522,서울특별시 노원구 상계10동 673,37.661121000000001,127.060982000000010,노원구청,노원경찰서,Y,1.000000000000000,"23",2020/07/14,"3100000",서울특별시 노원구,"0","12"
"2014","20140513",주간,월,"1","1","0","0","0",서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명,자전거,보행자,"962770","1962614",127.077884599999990,37.662278760000000,"14693",서울특별시 노원구청,서울특별시 노원구 덕릉로92길 13 중계건영인근,서울특별시 노원구 중계4동 133-17,생활방범,"1",130.000000000000000,회전,30.000000000000000,"201307",02-2116-4917,37.660923380000000,127.076357700000003,2019/04/08,"3100000",서울특별시 노원구,유치원,키즈위즈유치원,서울특별시 노원구 덕릉로86길 65,서울특별시 노원구 중계4동 131-4,37.661059000000002,127.078535599999995,노원구청,노원경찰서,Y,1.000000000000000,8.3~9,2020/07/14,"3100000",서울특별시 노원구,"0","12"
"2014","20140513",주간,월,"1","1","0","0","0",서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명,자전거,보행자,"962770","1962614",127.077884599999990,37.662278760000000,"15235",서울특별시 노원구청,서울특별시 노원구 덕릉로94가길 54 불암공원1,"서울특별시 노원구 상계3,4동 1275-4 불암어린이공원1",시설물관리,"1",130.000000000000000,회전,30.000000000000000,"201201",02-2116-3952,37.664206170000000,127.078730499999992,2019/04/08,"3100000",서울특별시 노원구,유치원,무지개유치원,서울특별시 노원구 덕릉로94가길 54,서울특별시 노원구 상계3동 1275-3,37.664553999999995,127.078716099999980,노원구청,노원경찰서,Y,1.000000000000000,5.6~11.5,2020/07/14,"3100000",서울특별시 노원구,"0","8"
